[START OF SIMULATION]
[0x00000000]	call r0,r0,0x00BA   R0=(PC+4)>>2=0x00000000,PC=(R0+0x00BA)<<2=0x000002E8
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006F60]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006F64]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006F68]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006F6C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006F70]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006F74]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006F78]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006F7C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006F80]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006F84]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006F88]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006F8C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006F90]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006F94]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006F98]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006F9C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FA0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FA4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FA8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FAC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FB0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FB4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FB8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FBC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FC0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FC4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FC8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FCC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FD0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FD4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FD8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FDC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FE0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FE4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FE8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FEC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00006FF0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00006FF4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00006FF8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x00006FFC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007000]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007004]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007008]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000700C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007010]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007014]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007018]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000701C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007020]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007024]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007028]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000702C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007030]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007034]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007038]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000703C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007040]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007044]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007048]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000704C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007050]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007054]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007058]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000705C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007060]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007064]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007068]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000706C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007070]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007074]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007078]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000707C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007080]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007084]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007088]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000708C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007090]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007094]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007098]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000709C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000070F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000070F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000070F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000070FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007100]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007104]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007108]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000710C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007110]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007114]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007118]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000711C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007120]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007124]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007128]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000712C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007130]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007134]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007138]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000713C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007140]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007144]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007148]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000714C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007150]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007154]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007158]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000715C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007160]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007164]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007168]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000716C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007170]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007174]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007178]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000717C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007180]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007184]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007188]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000718C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007190]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007194]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007198]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000719C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000071F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000071F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000071F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000071FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007200]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007204]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007208]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000720C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007210]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007214]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007218]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000721C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007220]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007224]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007228]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000722C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007230]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007234]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007238]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000723C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007240]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007244]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007248]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000724C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007250]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007254]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007258]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000725C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007260]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007264]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007268]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000726C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007270]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007274]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007278]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000727C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007280]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007284]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007288]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000728C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007290]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007294]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007298]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000729C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072EC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000072F0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000072F4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000072F8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000072FC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007300]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007304]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007308]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000730C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007310]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007314]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007318]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000731C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007320]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007324]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007328]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000732C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007330]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007334]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007338]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000733C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007340]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007344]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007348]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000734C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007350]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007354]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007358]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000735C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007360]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007364]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007368]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000736C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007370]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007374]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007378]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000737C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007380]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007384]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007388]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000738C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x00007390]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x00007394]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x00007398]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x0000739C]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000073A0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000073A4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000073A8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000073AC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000073B0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000073B4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000073B8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000073BC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000073C0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000073C4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000073C8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000073CC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000073D0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000073D4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000073D8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000073DC]=0x0000001C
[0x0000007C]	pop er,r28          ER=MEM[R28->0x000073E0]=0x0000001C
[0x00000080]	reti r30            PC=R30<<2=0x00000070
[0x00000070]	pop r30,r28         R30=MEM[R28->0x000073E4]=0x0000001C
[0x00000074]	pop r31,r28         R31=MEM[R28->0x000073E8]=0x0000001C
[0x00000078]	pop fr,r28          FR=MEM[R28->0x000073EC]=0x0000001C
